,text,likes,retweets,replies,Year,lemmatized,polarity,subjectivity,polarity_text
16957,"At Nokia, we can help you build a solid business case with our #5G Acceleration #services http://nokia.ly/2bU27Tr pic.twitter.com/STKhsLMdEC",20,14,0,2016,at nokia we can help you build solid business case with our 5g acceleration service nokia 2bu27tr pic twitter com stkhslmdec,0.0,0.1,neutral
17075,"Motorola claims Samsung stole glance screen from them, forgets about Nokia - http://bit.ly/2bDZggc pic.twitter.com/9IzN8hvJlB",54,37,2,2016,motorola claim samsung stole glance screen from them forgets about nokia bit 2bdzggc pic twitter com 9izn8hvjlb,0.0,0.0,neutral
17189,"Did anyone ACTUALLY play Snake??

We all played Snake II on our Nokia's but did anyone play SNAKE ONE?",39,1,8,2016,did anyone actually play snake we all played snake ii our nokia but did anyone play snake one,0.0,0.1,neutral
17237,Nokia charger wire pic.twitter.com/PCBSx0T4d8,57,2,2,2016,nokia charger wire pic twitter com pcbsx0t4d8,0.0,0.0,neutral
17569,Get inside the world of @WalkingDead_AMC! Experience it in #360video created with #OZO. #TheWalkingDeadhttps://twitter.com/radiantimages/status/791725233325559808 …,25,10,2,2016,get inside world walkingdead_amc experience 360video created with ozo thewalkingdeadhttps twitter com radiantimages status 791725233325559808,0.0,0.0,neutral
17688,#autumn  in the #TeignValley #Dartmoor  in the shadow of #CastleDrogo #nokia #lumia930pic.twitter.com/UAAu1D8kKG,32,20,0,2016,autumn teignvalley dartmoor shadow castledrogo nokia lumia930pic twitter com uaau1d8kkg,0.0,0.0,neutral
18060,PHOTOS: Ja Rule (@Ruleyork) and @ashanti reunited at Club Nokia last weekend. http://www.laweekly.com/slideshow/ja-rule-and-ashanti-reunion-club-nokia-6602619 …pic.twitter.com/B5RqngFl1u,97,35,4,2016,photo ja rule ruleyork ashanti reunited at club nokia last weekend laweekly com slideshow ja rule ashanti reunion club nokia 6602619 pic twitter com b5rqngfl1u,0.0,0.06666666666666667,neutral
18530,Rishte wali aunty is the human version of Nokia. Connecting people.,94,59,5,2016,rishte wali aunty human version nokia connecting people,0.0,0.1,neutral
18744,"As of today, @jalakarhu moves back home and back to Nokia. http://pocketnow.com/2016/08/01/windows-mobile-camera-chief-moves-back-to-nokia-for-ozo-project …",21,6,0,2016,a today jalakarhu move back home back nokia pocketnow com 2016 08 01 window mobile camera chief move back nokia ozo project,0.0,0.0,neutral
19183,"#VR and storytelling: ""Disney will use Nokia’s OZO...to shoot #360video for Disney films and marketing materials"" http://for.tn/1qs4ikP ",106,52,1,2016,storytelling disney will use nokia ozo shoot 360video disney film marketing material tn 1qs4ikp,0.0,0.0,neutral
19442,"Omg who remembers this phone?  I had this along with the Motorola razor, LG Chocolate & not forgetting my trusty Nokia 3310  pic.twitter.com/UgG962yIvP",267,17,20,2017,omg who remembers this phone had this along with motorola razor lg chocolate not forgetting my trusty nokia 3310 pic twitter com ugg962yivp,0.0,0.0,neutral
19584,"Nokia 6 reaches 250,000 registrations in less than 24 hours http://dlvr.it/N5b5sy pic.twitter.com/d4YQpqCxQ3",27,22,2,2017,nokia 6 reach 250 000 registration le than 24 hour dlvr n5b5sy pic twitter com d4yqpqcxq3,0.0,0.0,neutral
19927,"Apple Pulls All Withings Products from Stores, Following Patent Suit by Nokia http://1gn.in/2hX7Rz8  #nokia #apple #withings #suit #patent",28,5,1,2016,apple pull all withings product from store following patent suit by nokia 1gn 2hx7rz8 nokia apple withings suit patent,0.0,0.1,neutral
20001,"yar itney gareeb to hain k nokia k phone use ker rhy hain or hum loag panama ka case dal rahy hain
#PMNawazSharifpic.twitter.com/bhKMUnqcJp",21,3,6,2016,yar itney gareeb hain k nokia k phone use ker rhy hain or hum loag panama ka case dal rahy hain pmnawazsharifpic twitter com bhkmunqcjp,0.0,0.0,neutral
20738,HMD sold about 17.3 million Nokia feature phones in Q4 2017 http://nokiamob.net/2018/02/03/hmd-sold-about-17-3-million-nokia-feature-phones-in-q4-2017/ …pic.twitter.com/RIBriddzit,20,11,0,2018,hmd sold about 17 3 million nokia feature phone q4 2017 nokiamob net 2018 02 03 hmd sold about 17 3 million nokia feature phone q4 2017 pic twitter com ribriddzit,0.0,0.0,neutral
20869,"Nokia 7 Plus render and spec leaked. Featuring 6 inch 18:9 ratio screen、SD660 processor、3 ZEISS front and rear Lens and finally Nokia Camera is BACK!
#Nokia7Plus
http://www.vtechgraphy.com/android/nokia-7-plus-render-and-spec-leaked-come-with-3-zeiss-lens-6-inch-18%EF%BC%9A9-screen-and-sd660-processor/ …pic.twitter.com/jB1x53Dzuz",26,5,1,2018,nokia 7 plus render spec leaked featuring 6 inch 18 9 ratio screen sd660 processor 3 zeiss front rear lens finally nokia camera back nokia7plus vtechgraphy com android nokia 7 plus render spec leaked come with 3 zeiss lens 6 inch 18 ef bc 9a9 screen sd660 processor pic twitter com jb1x53dzuz,0.0,0.5,neutral
20871,#Nokia - #Nokia7Plus - Nokia 7 plus specs and pics http://www.slashleaks.com/l/nokia-7-plus-specs-and-pics …pic.twitter.com/MEpP3lYGpV,46,16,1,2018,nokia nokia7plus nokia 7 plus spec pic slashleaks com l nokia 7 plus spec pic pic twitter com mepp3lygpv,0.0,0.0,neutral
20893,Rumors: Leaked Nokia 7 Plus specs show it with Pro Mode camera app! http://nokiamob.net/2018/02/03/rumors-leaked-nokia-7-plus-specs-show-it-with-pro-mode-camera-app/ …pic.twitter.com/u2DkclT1p4,49,10,1,2018,rumor leaked nokia 7 plus spec show with pro mode camera app nokiamob net 2018 02 03 rumor leaked nokia 7 plus spec show with pro mode camera app pic twitter com u2dkclt1p4,0.0,0.0,neutral
20992,HMD Global still hasn't released the kernel sources for the Nokia 8 http://www.androidpolice.com/2018/02/03/hmd-global-still-hasnt-released-kernel-sources-nokia-8/ …pic.twitter.com/IkN7YUaWSc,66,12,0,2018,hmd global hasn t released kernel source nokia 8 androidpolice com 2018 02 03 hmd global hasnt released kernel source nokia 8 pic twitter com ikn7yuawsc,0.0,0.0,neutral
21027,Rumor: Nokia 4 to replace Nokia 3 soon in the Nokia Smartphones  portfolio #Nokia4 #Nokia3 #Nokia #MWC2018 https://nokiapoweruser.com/rumor-nokia-4-replace-nokia-3-soon-nokia-product-portfolio/ …pic.twitter.com/I61dtGCWOX,28,3,3,2018,rumor nokia 4 replace nokia 3 soon nokia smartphones portfolio nokia4 nokia3 nokia mwc2018 nokiapoweruser com rumor nokia 4 replace nokia 3 soon nokia product portfolio pic twitter com i61dtgcwox,0.0,0.0,neutral
21458,HMD Global estimated to have sold 16 million Nokia phones in Q3 2017 http://www.androidpolice.com/2017/12/22/hmd-global-estimated-sold-16-million-nokia-phones-q3-2017/ …pic.twitter.com/AcOdQEHDU4,53,15,1,2017,hmd global estimated have sold 16 million nokia phone q3 2017 androidpolice com 2017 12 22 hmd global estimated sold 16 million nokia phone q3 2017 pic twitter com acodqehdu4,0.0,0.0,neutral
21462,tomboy - princess nokia pic.twitter.com/3j1kJe7rfG,27,2,2,2017,tomboy princess nokia pic twitter com 3j1kje7rfg,0.0,0.0,neutral
21465,Nokia 2 Durability Test! - Will the cheapest Nokia survive?!: http://youtu.be/zrKYRM6iFh0?a  via @YouTube,290,27,10,2017,nokia 2 durability test will cheapest nokia survive youtu be zrkyrm6ifh0 youtube,0.0,0.0,neutral
21836,i have a nokia so that wont b a problem ,34,0,0,2018,have nokia so that wont problem,0.0,0.0,neutral
22354,"Tech Talks #325 - 2nd Anniversary, Nokia 7, Bixby 2.0, Flexible Skin, Xiaomi Door Lock  https://youtu.be/aqBC-YTdxtw  via @YouTubeIndia",500,16,18,2017,tech talk 325 2nd anniversary nokia 7 bixby 2 0 flexible skin xiaomi door lock youtu be aqbc ytdxtw youtubeindia,0.0,0.0,neutral
22952,Jens Eggert leaves Microsoft with a Seattle music video made entirely with Nokia/Microsoft phones and Movie Maker. https://www.youtube.com/watch?v=deauvInmPjQ&feature=youtu.be …,25,5,2,2017,jens eggert leaf microsoft with seattle music video made entirely with nokia microsoft phone movie maker youtube com watch v deauvinmpjq feature youtu be,0.0,0.625,neutral
23067,"Nokia and Xiaomi ink patent and equipment deal, Xiaomi buys Nokia patents http://tcrn.ch/2tHzbHN pic.twitter.com/Laap8s3rbV",52,43,2,2017,nokia xiaomi ink patent equipment deal xiaomi buy nokia patent tcrn ch 2thzbhn pic twitter com laap8s3rbv,0.0,0.0,neutral
23694,Mind you...this is in 2002. Nokia brick phones was the hype and regular cameras were too big to carry all day. But I get your point,49,1,2,2017,mind you this 2002 nokia brick phone wa hype regular camera were too big carry all day but get your point,0.0,0.08846153846153847,neutral
23712,iPhone X vs Nokia 3310 pic.twitter.com/QkRaOcTRup,76,23,0,2017,iphone v nokia 3310 pic twitter com qkraoctrup,0.0,0.0,neutral
23905,And you must be using nokia 1100,41,0,4,2017,you must be using nokia 1100,0.0,0.0,neutral
24251,"The match might've been interrupted by the rain, but nothing interrupts the Nokia smartphones; they're powered by Android™ One after all! Let's continue to cheer united and #PlayUnited. #RCBvKKR #IPL2018 #KKRHaiTaiyaar",28,6,4,2018,match might ve been interrupted by rain but nothing interrupt nokia smartphones re powered by android one after all let continue cheer united playunited rcbvkkr ipl2018 kkrhaitaiyaar,0.0,0.0,neutral
24363,Nokia X notched invitation confirms May 16 reveal - http://www.phonearena.com/news/Nokia-X-unveiling-May-16_id104491 …pic.twitter.com/p4gonyZSG9,21,3,2,2018,nokia notched invitation confirms may 16 reveal phonearena com news nokia unveiling may 16_id104491 pic twitter com p4gonyzsg9,0.0,0.0,neutral
24364,"Shot on Nokia 5
Sanjay Gandhi national park ,Mumbai.
@nokia @Nokiamobile
@Nokiapoweruser
@NokiamobileIN
@sarvikas
@NokiamobBlog
@NatGeo
@NatGeoPhotospic.twitter.com/px6oRKhBwc",35,2,0,2018,shot nokia 5 sanjay gandhi national park mumbai nokia nokiamobile nokiapoweruser nokiamobilein sarvikas nokiamobblog natgeo natgeophotospic twitter com px6orkhbwc,0.0,0.0,neutral
24402,"#Nokia7plus and #Nokia8sirocco shipping started in #India for those who have pre-ordered

#Nokiamobile #Nokia #Nokiafansspic.twitter.com/tSiBeelffT",56,3,2,2018,nokia7plus nokia8sirocco shipping started india those who have pre ordered nokiamobile nokia nokiafansspic twitter com tsibeelfft,0.0,0.0,neutral
24532,lovelyz getting their phones when they coming back from japan we will anticipate those nokia 3210 selfies,129,118,1,2017,lovelyz getting their phone when coming back from japan we will anticipate those nokia 3210 selfies,0.0,0.0,neutral
25052,"#Nokia 9 smartphone has dual 13MP cameras and 6GB RAM, gets pictured in video. http://www.techeblog.com/index.php/tech-gadget/nokia-9-has-dual-13mp-cameras-and-6gb-ram-gets-pictured-in-video … #gadgets #geek $NOK #iphone8 #iphonepic.twitter.com/fpnHB69WTy",23,47,0,2017,nokia 9 smartphone ha dual 13mp camera 6gb ram get pictured video techeblog com index php tech gadget nokia 9 ha dual 13mp camera 6gb ram get pictured video gadget geek nok iphone8 iphonepic twitter com fpnhb69wty,0.0,0.0,neutral
25176,Nokia needs to bring back N gage.,22,3,0,2017,nokia need bring back n gage,0.0,0.0,neutral
25243,Where is Nokia 1 -7 cos now we have #Nokia8pic.twitter.com/lUDHaT0r3b,99,192,15,2017,where nokia 1 7 co now we have nokia8pic twitter com ludhat0r3b,0.0,0.0,neutral
25604,Facebook and Nokia speed up undersea fiber through math http://engt.co/2mS0SHa pic.twitter.com/AfvCMPs4vj,30,36,1,2017,facebook nokia speed up undersea fiber through math engt co 2ms0sha pic twitter com afvcmps4vj,0.0,0.0,neutral
25841,"What limits us, inspires us. See how the Nokia Photonic Service Engine 3 is taking #optical performance to the limit of what’s possible. http://nokia.ly/2FgJjh9 pic.twitter.com/8QjqZnMINE",25,8,3,2018,what limit inspires see how nokia photonic service engine 3 taking optical performance limit what possible nokia 2fgjjh9 pic twitter com 8qjqznmine,0.0,1.0,neutral
25923,"Should I tell the story about the time I made international news and tanked Nokia stock 10% in one day? $NOK

RT and I’ll make a video about it.pic.twitter.com/ULIBb1bZmY",34,17,5,2018,should tell story about time made international news tanked nokia stock 10 one day nok rt ll make video about pic twitter com ulibb1bzmy,0.0,0.0,neutral
25952,"Nokia 6 and saffron part two
#nokia6 @NokiamobBlog #nature #naturephotography #naturephotographer #landscape #landscapephotography #landscapephotographer #flowers #beautifulflowers #saffronpic.twitter.com/5FfAZVZTxQ",33,4,1,2018,nokia 6 saffron part two nokia6 nokiamobblog nature naturephotography naturephotographer landscape landscapephotography landscapephotographer flower beautifulflowers saffronpic twitter com 5ffazvztxq,0.0,0.0,neutral
26139,"me and princess nokia tonight in dallas. 
i’m playing all r&b.",51,2,5,2018,me princess nokia tonight dallas m playing all r,0.0,0.0,neutral
26298,Retweet if you played #Snake on your #Nokia pic.twitter.com/DmHuq2CfjS,70,55,6,2018,retweet if you played snake your nokia pic twitter com dmhuq2cfjs,0.0,0.0,neutral
26543,"Nokia 7 Plus Benchmarks, Gaming, Camera Samples and Questions - iGyaan: http://youtu.be/gYTmzUiD-zs?a  via @YouTube",117,22,10,2018,nokia 7 plus benchmark gaming camera sample question igyaan youtu be gytmzuid z youtube,0.0,0.0,neutral
26603,"Afternoon in Samobor - Nokia 6 HDR
#Nokia6 @NokiamobBlog @Nokiamobile #HDR #Landscape #Landscape #Landscapephotography #Landscapephotographer #City #Samobor #Croatiapic.twitter.com/vF83qR1yT1",28,4,0,2018,afternoon samobor nokia 6 hdr nokia6 nokiamobblog nokiamobile hdr landscape landscape landscapephotography landscapephotographer city samobor croatiapic twitter com vf83qr1yt1,0.0,0.0,neutral
27148,"Harry is going to be extra tonight so please bring your iPhone's & not your Nokia's, thank you",333,129,0,2017,harry going be extra tonight so please bring your iphone not your nokia thank you,0.0,0.1,neutral
28027,You take these pics with your Nokia?,177,8,3,2017,you take these pic with your nokia,0.0,0.0,neutral
28666,This just in from London! Nokia WING won #TechXLR8 awards for Leadership in #IoT http://nokia.ly/2kthFz9  @iotworldnewspic.twitter.com/HaPmpe0FPY,33,22,0,2017,this just from london nokia wing won techxlr8 award leadership iot nokia 2kthfz9 iotworldnewspic twitter com hapmpe0fpy,0.0,0.0,neutral
28735,Nokia targets gains from web giants with fastest routers http://reut.rs/2rilbQd pic.twitter.com/UcHzxuoLiF,27,26,2,2017,nokia target gain from web giant with fastest router reut r 2rilbqd pic twitter com uchzxuolif,0.0,1.0,neutral
28807,I'm the IPhone you the Nokia  pic.twitter.com/GuzrS1PC7L,30,0,0,2017,m iphone you nokia pic twitter com guzrs1pc7l,0.0,0.0,neutral
29117,"@official4SYTETV, I DEY BEG OOO CHECK LEGON 4SR GROUP INSIDE, LOW key gbaaa for there...#PentHallWeek18 ,@4SrTv 

sponsored by @Nokia, #NokiaMobileonAndroid #iconicDuo & supported by @y1079fm

Powered by @official4syteTV",21,9,0,2018,official4sytetv dey beg ooo check legon 4sr group inside low key gbaaa there penthallweek18 4srtv sponsored by nokia nokiamobileonandroid iconicduo supported by y1079fm powered by official4sytetv,0.0,0.65,neutral
29200,"#MWC18 podcast: Listen to @MarcusWeldon on the 4th industrial revolution, our Future X Vision, and how Nokia @belllabs is leading the way: http://nokia.ly/2Es9Qnw  #Industry40pic.twitter.com/RHwYBx13fA",71,19,2,2018,mwc18 podcast listen marcusweldon 4th industrial revolution our future vision how nokia belllabs leading way nokia 2es9qnw industry40pic twitter com rhwybx13fa,0.0,0.125,neutral
29335,Wi-Fi doesnt work on a Nokia 3210 ,57,0,0,2018,wi fi doesnt work nokia 3210,0.0,0.0,neutral
29398,Nokia 8110 4G receiving the software update V13.00.17.01 https://nokiamob.net/2018/11/28/nokia-8110-4g-receiving-the-software-update-v13-00-17-01/ …pic.twitter.com/yhzNOCma7y,28,5,2,2018,nokia 8110 4g receiving software update v13 00 17 01 nokiamob net 2018 11 28 nokia 8110 4g receiving software update v13 00 17 01 pic twitter com yhznocma7y,0.0,0.0,neutral
29415,Android 9 Pie for Nokia 8 seen on HMD’s servers https://nokiamob.net/2018/11/28/android-9-pie-for-nokia-8-seen-on-hmds-servers/ …pic.twitter.com/5Y5GSuekO6,89,14,6,2018,android 9 pie nokia 8 seen hmd server nokiamob net 2018 11 28 android 9 pie nokia 8 seen hmds server pic twitter com 5y5gsueko6,0.0,0.0,neutral
29472,Nokia 8 pops up on Geekbench running Android 9.0 Pie http://dlvr.it/QsLT1Q pic.twitter.com/2DILYBvXTI,21,5,0,2018,nokia 8 pop up geekbench running android 9 0 pie dlvr qslt1q pic twitter com 2dilybvxti,0.0,0.0,neutral
29509,They’re the Nokia’s of lizards,24,2,0,2018,re nokia lizard,0.0,0.0,neutral
29677,Leak confirms Nokia 8.1 is indeed the global X7 https://nokiamob.net/2018/11/28/leak-confirms-nokia-8-1-is-indeed-the-global-x7/ …pic.twitter.com/y04ntB0H1C,63,12,1,2018,leak confirms nokia 8 1 indeed global x7 nokiamob net 2018 11 28 leak confirms nokia 8 1 indeed global x7 pic twitter com y04ntb0h1c,0.0,0.0,neutral
29739,Exclusive: Official Nokia 8.1 aka Nokia Phoenix images & marketing material https://nokiapoweruser.com/exclusive-official-nokia-8-1-aka-nokia-phoenix-images-marketing-material/ …pic.twitter.com/BSkoadzBJh,106,16,5,2018,exclusive official nokia 8 1 aka nokia phoenix image marketing material nokiapoweruser com exclusive official nokia 8 1 aka nokia phoenix image marketing material pic twitter com bskoadzbjh,0.0,0.0,neutral
29838,Coming out on friday the 30th . Get to know @coach_rulani  we celebrate achievements @siyanda_xulu & @nokia partnership @OneSportSApic.twitter.com/3I72YJrBMW,33,16,1,2018,coming out friday 30th get know coach_rulani we celebrate achievement siyanda_xulu nokia partnership onesportsapic twitter com 3i72yjrbmw,0.0,0.0,neutral
29987,Affordable Nokia WH-301 Stereo earphones on sale before official announcement https://nokiamob.net/2018/11/28/affordable-nokia-wh-301-stereo-earphones-on-sale-before-official-announcement/ …pic.twitter.com/SA8ZGUm7bp,42,5,0,2018,affordable nokia wh 301 stereo earphone sale before official announcement nokiamob net 2018 11 28 affordable nokia wh 301 stereo earphone sale before official announcement pic twitter com sa8zgum7bp,0.0,0.0,neutral
30019,Winter is coming !!! Shot on Nokia 6 @sarvikas @NokiaMobile @nokia pic.twitter.com/cBa15bmXmz,116,1,4,2018,winter coming shot nokia 6 sarvikas nokiamobile nokia pic twitter com cba15bmxmz,0.0,0.0,neutral
